cnf_path,clause_count,var_count,tseitin_var_count,compile_time,timestamp,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_066.cnf,6360,2297,2106,37.861,1710369790.645971,152377,9002888,152459,9003366,152377,631535,152459,632013,143124,495014,143300,657833
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_068.cnf,43118,14948,14266,5.009,1710369883.032312,10968,1430118,11443,1432011,10968,32504,11443,34397,9262,28025,9814,33736
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_056.cnf,5667,2065,1060,1.353,1710369897.2261596,722,566087,723,566313,722,337767,723,337993,722,337767,723,337993
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_094.cnf,39374,9797,8794,57.755,1710369970.9192839,30723,8752571,30724,8753452,30723,808039,30724,808920,30723,808039,30724,808920
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_072.cnf,49510,14685,10179,7.262,1710370125.454834,319,388273,322,388345,319,145544,322,145616,319,145544,322,145616
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_146.cnf,86333,28701,28343,44.187,1710370794.1266088,499,8119222,499,8119222,499,82713,499,82713,499,82713,499,82713
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_007.cnf,14565,3727,3234,1.048,1710372208.2167377,695,125928,696,125991,695,14447,696,14510,695,14447,696,14510
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_009.cnf,36291,8978,8124,3.203,1710372213.0258286,1033,261013,1034,261039,1033,23483,1034,23509,1033,23483,1034,23509
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_103.cnf,85700,20977,19095,249.924,1710372473.992891,22733,9488469,22734,9488997,22733,760640,22734,761168,22733,760640,22734,761168
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_053.cnf,39066,11024,2757,59.143,1710373671.6440184,471756,3895485,471881,3941489,471756,3059910,471881,3105914,471756,3059910,471881,3105914
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_037.cnf,6871,2811,1974,0.514,1710373810.8190758,1992,72128,2465,73508,1992,17749,2465,19129,1969,17624,2443,19128
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_117.cnf,78082,20192,12696,14.925,1710373828.5209634,18051,2414037,18064,2414760,18051,1129917,18064,1130640,18051,1129917,18064,1130640
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_033.cnf,42348,10481,9438,2.702,1710375102.5194137,877,192571,878,192604,877,18114,878,18147,877,18114,878,18147
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_049.cnf,14839,3754,3317,5.357,1710377520.97345,5355,1296100,5356,1296353,5355,125210,5356,125463,5355,125210,5356,125463
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_073.cnf,24593,6139,5461,15.175,1710377553.5728245,7828,2430124,7829,2430406,7828,227033,7829,227315,7828,227033,7829,227315
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_119.cnf,124485,37821,22486,256.401,1710379665.3370972,12549,17920492,12550,17920520,12549,9241913,12550,9241941,12549,9241913,12550,9241941
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_031.cnf,6674,2649,1905,0.507,1710382501.2943256,1458,45268,1838,46408,1458,13084,1838,14224,1458,13084,1838,14224
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_085.cnf,2638,892,243,2.655,1710382505.7667758,19520,1897456,19520,1897456,19520,1405871,19520,1405871,19520,1405871,19520,1405871
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_079.cnf,6893,2815,1060,2.002,1710382537.2294703,722,789647,723,789854,722,547848,723,548055,722,547848,723,548055
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_027.cnf,5269,1916,1134,0.549,1710382558.9356349,1942,62185,2137,62777,1942,28565,2137,29157,1942,28565,2137,29157
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_105.cnf,38505,11557,6808,35.209,1710383198.0461583,3443,3073256,3444,3073351,3443,1515093,3444,1515188,3443,1515093,3444,1515188
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_099.cnf,94947,23246,21294,39.276,1710384605.7455082,6414,2904423,6415,2904856,6414,211713,6415,212146,6414,211713,6415,212146
../sources/cnf2tseitin/cnf/MC2023_track1-mc_public/mc2023_track1_043.cnf,3862,1985,1280,0.648,1710385332.6884449,3248,56545,3812,58198,3248,9467,3812,11120,2790,8425,3477,10935
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_074.cnf,2152,586,243,4.505,1710385340.4529226,52370,3429272,52370,3429272,52370,2157644,52370,2157644,52370,2157644,52370,2157644
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_050.cnf,39487,11118,2793,32.198,1710386628.0071998,283505,2392238,283630,2415170,283505,1917332,283630,1940264,283505,1917332,283630,1940264
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_082.cnf,5216,1843,968,82.745,1710387444.5916345,347044,76207823,347045,76207872,347044,33418754,347045,33418803,347044,33418754,347045,33418803
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_034.cnf,47460,11825,10621,4.122,1710390575.5701199,1433,357932,1434,357983,1433,31248,1434,31299,1433,31248,1434,31299
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_036.cnf,7437,2708,2014,0.650,1710391186.418756,1707,89051,1931,89711,1707,27121,1931,27781,1687,27027,1912,27743
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_008.cnf,36291,8978,8124,3.203,1710391792.021751,1033,261013,1034,261039,1033,23483,1034,23509,1033,23483,1034,23509
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_118.cnf,124485,37821,22486,256.402,1710392062.8706968,12549,17920492,12550,17920520,12549,9241913,12550,9241941,12549,9241913,12550,9241941
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_064.cnf,49510,14685,10179,7.217,1710394317.979294,319,388273,322,388345,319,145544,322,145616,319,145544,322,145616
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_068.cnf,5216,1843,968,82.391,1710395072.7969525,347044,76207823,347045,76207872,347044,33418754,347045,33418803,347044,33418754,347045,33418803
